School Year,Season,Sex,Division,Event,Qualifying Standard
2026-2027,fall,F,North Sectional,200 Medley Relay,2:17.78
2026-2027,fall,F,North Sectional,200 Freestyle,2:15.36
2026-2027,fall,F,North Sectional,200 Individual Medley,2:35.12
2026-2027,fall,F,North Sectional,50 Freestyle,28.00
2026-2027,fall,F,North Sectional,Diving,170 x 2
2026-2027,fall,F,North Sectional,100 Butterfly,1:10.80
2026-2027,fall,F,North Sectional,100 Freestyle,1:02.01
2026-2027,fall,F,North Sectional,500 Freestyle,6:09.93
2026-2027,fall,F,North Sectional,200 Freestyle Relay,2:00.03
2026-2027,fall,F,North Sectional,100 Backstroke,1:10.96
2026-2027,fall,F,North Sectional,100 Breaststroke,1:20.85
2026-2027,fall,F,North Sectional,400 Freestyle Relay,4:26.69
2026-2027,fall,F,South Sectional,200 Medley Relay,2:16.55
2026-2027,fall,F,South Sectional,200 Freestyle,2:15.79
2026-2027,fall,F,South Sectional,200 Individual Medley,2:35.48
2026-2027,fall,F,South Sectional,50 Freestyle,28.00
2026-2027,fall,F,South Sectional,Diving,170 x 2
2026-2027,fall,F,South Sectional,100 Butterfly,1:10.80
2026-2027,fall,F,South Sectional,100 Freestyle,1:02.01
2026-2027,fall,F,South Sectional,500 Freestyle,6:09.23
2026-2027,fall,F,South Sectional,200 Freestyle Relay,2:00.03
2026-2027,fall,F,South Sectional,100 Backstroke,1:11.36
2026-2027,fall,F,South Sectional,100 Breaststroke,1:21.86
2026-2027,fall,F,South Sectional,400 Freestyle Relay,4:25.63
2026-2027,fall,F,State,200 Medley Relay,2:10.57
2026-2027,fall,F,State,200 Freestyle,2:11.32
2026-2027,fall,F,State,200 Individual Medley,2:27.50
2026-2027,fall,F,State,50 Freestyle,27.25
2026-2027,fall,F,State,Diving,180 x 2
2026-2027,fall,F,State,100 Butterfly,1:07.72
2026-2027,fall,F,State,100 Freestyle,1:00.10
2026-2027,fall,F,State,500 Freestyle,5:52.15
2026-2027,fall,F,State,200 Freestyle Relay,1:56.61
2026-2027,fall,F,State,100 Backstroke,1:08.20
2026-2027,fall,F,State,100 Breaststroke,1:17.84
2026-2027,fall,F,State,400 Freestyle Relay,4:13.78
2026-2027,fall,M,North Sectional,200 Medley Relay,2:15.55
2026-2027,fall,M,North Sectional,200 Freestyle,2:11.49
2026-2027,fall,M,North Sectional,200 Individual Medley,2:31.49
2026-2027,fall,M,North Sectional,50 Freestyle,27.12
2026-2027,fall,M,North Sectional,Diving,170 x 2
2026-2027,fall,M,North Sectional,100 Butterfly,1:08.40
2026-2027,fall,M,North Sectional,100 Freestyle,1:00.34
2026-2027,fall,M,North Sectional,500 Freestyle,6:01.73
2026-2027,fall,M,North Sectional,200 Freestyle Relay,1:59.03
2026-2027,fall,M,North Sectional,100 Backstroke,1:08.51
2026-2027,fall,M,North Sectional,100 Breaststroke,1:17.98
2026-2027,fall,M,North Sectional,400 Freestyle Relay,4:24.53
2026-2027,fall,M,South Sectional,200 Medley Relay,2:15.55
2026-2027,fall,M,South Sectional,200 Freestyle,2:11.49
2026-2027,fall,M,South Sectional,200 Individual Medley,2:31.49
2026-2027,fall,M,South Sectional,50 Freestyle,27.12
2026-2027,fall,M,South Sectional,Diving,170 x 2
2026-2027,fall,M,South Sectional,100 Butterfly,1:08.40
2026-2027,fall,M,South Sectional,100 Freestyle,1:00.33
2026-2027,fall,M,South Sectional,500 Freestyle,6:01.73
2026-2027,fall,M,South Sectional,200 Freestyle Relay,1:59.03
2026-2027,fall,M,South Sectional,100 Backstroke,1:08.01
2026-2027,fall,M,South Sectional,100 Breaststroke,1:19.96
2026-2027,fall,M,South Sectional,400 Freestyle Relay,4:24.59
2026-2027,fall,M,State,200 Medley Relay,1:58.90
2026-2027,fall,M,State,200 Freestyle,1:57.90
2026-2027,fall,M,State,200 Individual Medley,2:13.00
2026-2027,fall,M,State,50 Freestyle,24.00
2026-2027,fall,M,State,Diving,180 x 2
2026-2027,fall,M,State,100 Butterfly,59.00
2026-2027,fall,M,State,100 Freestyle,52.67
2026-2027,fall,M,State,500 Freestyle,5:23.09
2026-2027,fall,M,State,200 Freestyle Relay,1:40.53
2026-2027,fall,M,State,100 Backstroke,1:01.47
2026-2027,fall,M,State,100 Breaststroke,1:08.21
2026-2027,fall,M,State,400 Freestyle Relay,3:41.83
2026-2027,winter,F,North Sectional,200 Medley Relay,2:15.35
2026-2027,winter,F,North Sectional,200 Freestyle,2:11.48
2026-2027,winter,F,North Sectional,200 Individual Medley,2:30.93
2026-2027,winter,F,North Sectional,50 Freestyle,26.98
2026-2027,winter,F,North Sectional,Diving,180 x 2
2026-2027,winter,F,North Sectional,100 Butterfly,1:07.75
2026-2027,winter,F,North Sectional,100 Freestyle,59.85
2026-2027,winter,F,North Sectional,500 Freestyle,6:04.71
2026-2027,winter,F,North Sectional,200 Freestyle Relay,1:58.71
2026-2027,winter,F,North Sectional,100 Backstroke,1:09.01
2026-2027,winter,F,North Sectional,100 Breaststroke,1:18.31
2026-2027,winter,F,North Sectional,400 Freestyle Relay,4:26.48
2026-2027,winter,F,South Sectional,200 Medley Relay,2:06.73
2026-2027,winter,F,South Sectional,200 Freestyle,2:14.16
2026-2027,winter,F,South Sectional,200 Individual Medley,2:30.13
2026-2027,winter,F,South Sectional,50 Freestyle,27.14
2026-2027,winter,F,South Sectional,Diving,175 x 2
2026-2027,winter,F,South Sectional,100 Butterfly,1:07.12
2026-2027,winter,F,South Sectional,100 Freestyle,1:00.26
2026-2027,winter,F,South Sectional,500 Freestyle,6:00.43
2026-2027,winter,F,South Sectional,200 Freestyle Relay,1:53.83
2026-2027,winter,F,South Sectional,100 Backstroke,1:09.56
2026-2027,winter,F,South Sectional,100 Breaststroke,1:19.77
2026-2027,winter,F,South Sectional,400 Freestyle Relay,4:13.24
2026-2027,winter,F,Central/West Sectional,200 Medley Relay,2:12.64
2026-2027,winter,F,Central/West Sectional,200 Freestyle,2:16.88
2026-2027,winter,F,Central/West Sectional,200 Individual Medley,2:35.84
2026-2027,winter,F,Central/West Sectional,50 Freestyle,27.61
2026-2027,winter,F,Central/West Sectional,Diving,150 x 2
2026-2027,winter,F,Central/West Sectional,100 Butterfly,1:09.93
2026-2027,winter,F,Central/West Sectional,100 Freestyle,1:01.76
2026-2027,winter,F,Central/West Sectional,500 Freestyle,6:08.84
2026-2027,winter,F,Central/West Sectional,200 Freestyle Relay,1:56.72
2026-2027,winter,F,Central/West Sectional,100 Backstroke,1:11.26
2026-2027,winter,F,Central/West Sectional,100 Breaststroke,1:19.99
2026-2027,winter,F,Central/West Sectional,400 Freestyle Relay,4:20.80
2026-2027,winter,F,Division I State,200 Medley Relay,2:06.26
2026-2027,winter,F,Division I State,200 Freestyle,2:10.19
